File,aid,Date,(3) non-fire water pixel,(4) cloud (land or water),(5) non-fire land pixel,(6) unknown (land or water),"(7) fire (low confidence, land or water)","(8) fire (nominal confidence, land or water)","(9) fire (high confidence, land or water)"
FireMask_2018177_aid0001,aid0001,2018-06-26,23567,30,472572,58.0,13.0,159,356.0
FireMask_2018185_aid0001,aid0001,2018-07-04,23514,108,472327,493.0,28.0,101,184.0
FireMask_2018193_aid0001,aid0001,2018-07-12,23607,70,472086,747.0,3.0,79,163.0
FireMask_2018201_aid0001,aid0001,2018-07-20,23523,29,472216,131.0,27.0,185,644.0
FireMask_2018209_aid0001,aid0001,2018-07-28,23574,24,469563,1146.0,52.0,450,1946.0
FireMask_2018217_aid0001,aid0001,2018-08-05,23508,11,470997,296.0,106.0,478,1359.0
FireMask_2018225_aid0001,aid0001,2018-08-13,23609,50,471626,400.0,51.0,272,747.0
FireMask_2018233_aid0001,aid0001,2018-08-21,23563,102,472359,20.0,16.0,207,488.0
FireMask_2018241_aid0001,aid0001,2018-08-29,23608,61,472643,1.0,15.0,232,195.0
FireMask_2018249_aid0001,aid0001,2018-09-06,23610,46,472454,8.0,32.0,215,390.0
FireMask_2018257_aid0001,aid0001,2018-09-14,23541,27,473055,,3.0,82,47.0
FireMask_2018265_aid0001,aid0001,2018-09-22,23582,100,472904,1.0,3.0,73,92.0
FireMask_2018273_aid0001,aid0001,2018-09-30,23864,154,472500,75.0,12.0,112,38.0
FireMask_2018281_aid0001,aid0001,2018-10-08,23589,47,472919,4.0,4.0,151,41.0
FireMask_2018289_aid0001,aid0001,2018-10-16,23627,53,472786,,16.0,208,65.0
FireMask_2018297_aid0001,aid0001,2018-10-24,23638,56,472842,,16.0,176,27.0
FireMask_2018305_aid0001,aid0001,2018-11-01,23776,46,472439,,9.0,218,267.0
FireMask_2018313_aid0001,aid0001,2018-11-09,23521,110,471907,4.0,75.0,230,908.0
FireMask_2018321_aid0001,aid0001,2018-11-17,24044,155,472449,3.0,9.0,63,32.0
FireMask_2018329_aid0001,aid0001,2018-11-25,24188,2724,469820,,2.0,17,4.0
FireMask_2018337_aid0001,aid0001,2018-12-03,24449,9110,463147,,3.0,40,6.0
FireMask_2018345_aid0001,aid0001,2018-12-11,23963,4877,467844,,2.0,55,14.0
FireMask_2018353_aid0001,aid0001,2018-12-19,24061,2036,470648,,,4,6.0
FireMask_2018361_aid0001,aid0001,2018-12-27,23744,5918,467033,,2.0,42,16.0
FireMask_2019001_aid0001,aid0001,2019-01-01,24145,5628,466950,,1.0,31,
FireMask_2019009_aid0001,aid0001,2019-01-09,24701,7876,464143,,3.0,29,3.0
FireMask_2019017_aid0001,aid0001,2019-01-17,24956,8292,463484,,,23,
FireMask_2019025_aid0001,aid0001,2019-01-25,23946,2797,469956,,,52,4.0
FireMask_2019033_aid0001,aid0001,2019-02-02,24554,59617,412528,,1.0,53,2.0
FireMask_2019041_aid0001,aid0001,2019-02-10,24471,60164,412091,,,16,13.0
FireMask_2019049_aid0001,aid0001,2019-02-18,23435,48154,425142,,1.0,22,1.0
FireMask_2019057_aid0001,aid0001,2019-02-26,25476,16008,455261,,,10,
FireMask_2019065_aid0001,aid0001,2019-03-06,24441,15137,457103,,9.0,63,2.0
FireMask_2019073_aid0001,aid0001,2019-03-14,23706,5467,467480,,2.0,88,12.0
FireMask_2019081_aid0001,aid0001,2019-03-22,24298,10045,462358,4.0,6.0,42,2.0
FireMask_2019089_aid0001,aid0001,2019-03-30,24698,6242,465770,1.0,2.0,40,2.0
FireMask_2019097_aid0001,aid0001,2019-04-07,24039,2360,470274,2.0,11.0,45,24.0
FireMask_2019105_aid0001,aid0001,2019-04-15,23751,404,472480,18.0,2.0,68,32.0
FireMask_2019113_aid0001,aid0001,2019-04-23,23608,135,472763,61.0,3.0,134,51.0
FireMask_2019121_aid0001,aid0001,2019-05-01,23614,119,472872,6.0,7.0,96,41.0
FireMask_2019129_aid0001,aid0001,2019-05-09,23781,211,472419,258.0,,76,10.0
FireMask_2019137_aid0001,aid0001,2019-05-17,24181,3471,469025,63.0,3.0,6,6.0
FireMask_2019145_aid0001,aid0001,2019-05-25,23974,247,472430,26.0,1.0,43,34.0
FireMask_2019153_aid0001,aid0001,2019-06-02,23495,70,473057,28.0,2.0,65,38.0
FireMask_2019161_aid0001,aid0001,2019-06-10,23685,163,472807,25.0,6.0,44,25.0
FireMask_2019169_aid0001,aid0001,2019-06-18,23587,108,472938,1.0,3.0,96,22.0
FireMask_2019177_aid0001,aid0001,2019-06-26,23761,140,472706,9.0,5.0,93,41.0
